name,galaxy_type,redshift,number_of_NaN_indices,R_half_light_visible,R_half_mass_stellar_mass,hden_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_co_10_semi_analytical,gas_mass,star_mass,total_gas_mass_within_R50_and_disk,total_star_mass_within_R50_and_disk,gas_fraction_all_galaxy,gas_fraction_R50_and_disk,stellar_mass_fraction_all_galaxy,stellar_mass_fraction_within_R50_and_disk,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,sfr_instantaneous,sfr_5Myr,sfr_10Myr,sfr_100Myr,sfr_instantaneous_surface_density_twoR50,sfr_5Myr_surface_density_twoR50,sfr_10Myr_surface_density_twoR50,sfr_100Myr_surface_density_twoR50,sfr_instantaneous_sSFR,sfr_5Myr_sSFR,sfr_10Myr_sSFR,sfr_100Myr_sSFR,sfe_sfr_instantaneous_all_gas,sfe_sfr_5Myr_all_gas,sfe_sfr_10Myr_all_gas,sfe_sfr_100Myr_all_gas,sfe_sfr_instantaneous_surface_density_twoR50_all_gas,sfe_sfr_5Myr_surface_density_twoR50_all_gas,sfe_sfr_10Myr_surface_density_twoR50_all_gas,sfe_sfr_100Myr_surface_density_twoR50_all_gas,sfe_sfr_instantaneous_sSFR_all_gas,sfe_sfr_5Myr_sSFR_all_gas,sfe_sfr_10Myr_sSFR_all_gas,sfe_sfr_100Myr_sSFR_all_gas,sfe_sfr_instantaneous_R50_and_disk,sfe_sfr_5Myr_R50_and_disk,sfe_sfr_10Myr_R50_and_disk,sfe_sfr_100Myr_R50_and_disk,sfe_sfr_instantaneous_surface_density_twoR50_R50_and_disk,sfe_sfr_5Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_10Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_100Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_instantaneous_sSFR_R50_and_disk,sfe_sfr_5Myr_sSFR_R50_and_disk,sfe_sfr_10Myr_sSFR_R50_and_disk,sfe_sfr_100Myr_sSFR_R50_and_disk,average_gas_metallicity,average_star_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,metallicity_gas_half_light_visible_z500pc,metallicity_star_half_light_visible_z500pc,twelve_plus_logOH,twelve_plus_logOH_half_light_visible_z500pc,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,L_fir,L_skirt_full_wavelength_range,L_skirt_habing,mass_average_radiation_field,volume_weighted_average_radiation_field,mass_average_radiation_field_R50_and_disk,volume_weighted_average_radiation_field_R50_and_disk,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal0,firebox,3.0,0,8.10000e+03,1.70000e+03,3.75903e+01,9.99866e+00,3.42276e+08,3.04668e+10,1.10611e+10,2.06092e+09,3.73382e+09,7.33646e-01,3.55654e-01,2.66354e-01,6.44346e-01,2.29183e+09,6.55245e+08,2.69930e+03,1.12724e+12,3.03228e+01,2.34843e+01,2.35018e+01,2.53101e+01,3.67782e-08,2.84837e-08,2.85050e-08,3.06982e-08,2.74138e-09,2.12313e-09,2.12472e-09,2.28820e-09,9.95275e-10,7.70815e-10,7.71391e-10,8.30743e-10,1.20716e-18,9.34911e-19,9.35610e-19,1.00760e-18,8.99794e-20,6.96867e-20,6.97388e-20,7.51046e-20,1.47132e-08,1.13950e-08,1.14035e-08,1.22809e-08,1.78455e-17,1.38209e-17,1.38312e-17,1.48954e-17,1.33017e-18,1.03018e-18,1.03095e-18,1.11028e-18,2.78131e-01,2.57314e-01,3.53925e-01,2.85863e-01,2.78114e-01,2.93370e-01,3.64669e-01,3.02848e-01,8.29028e+00,8.40643e+00,1.51167e+04,1.01729e+04,2.52896e+04,2.58136e+03,2.35786e+03,4.93922e+03,3.33728e+03,4.19977e+03,7.53705e+03,1.10755e+05,2.09554e+03,2.10115e+03,9.24211e+44,1.41506e+45,4.22970e+43,1.97452e+01,1.97452e+01,5.81337e+01,5.81337e+01,7.00288e+42,1.36295e+42,4.85961e+41,6.14090e+06,9.32887e+06,5.23989e+06,1.52933e+06,2.65303e+05,2.55368e+04,1.39841e+03,9.31098e+01,2.85821e+05,1.89281e+41,2.10909e+41,4.15425e+41,1.39237e+41,6.10255e+41,1.41464e+41,5.00216e+40,2.87666e+06,4.07226e+06,2.34117e+06,7.36872e+05,1.41544e+05,1.47894e+04,7.84273e+02,2.81332e+01,1.53314e+05,2.52953e+40,2.02933e+40,3.19699e+40,1.07153e+40
gal1,firebox,3.0,0,2.10000e+03,1.10000e+03,7.98560e+01,9.97466e+01,1.33664e+09,1.88506e+10,4.29065e+10,1.38193e+09,2.10033e+10,3.05238e-01,6.17342e-02,6.94762e-01,9.38266e-01,3.68288e+09,1.98151e+09,9.62469e+04,1.03729e+12,3.63819e+01,3.64029e+01,3.16826e+01,2.35916e+01,6.56504e-07,6.56882e-07,5.71706e-07,4.25705e-07,8.47935e-10,8.48423e-10,7.38411e-10,5.49838e-10,1.93001e-09,1.93113e-09,1.68072e-09,1.25150e-09,3.48267e-17,3.48467e-17,3.03283e-17,2.25831e-17,4.49819e-20,4.50078e-20,3.91718e-20,2.91682e-20,2.63269e-08,2.63420e-08,2.29263e-08,1.70715e-08,4.75062e-16,4.75336e-16,4.13701e-16,3.08051e-16,6.13587e-19,6.13940e-19,5.34333e-19,3.97876e-19,6.13789e-01,5.42032e-01,7.85704e-01,6.00150e-01,6.26453e-01,7.77058e-01,1.26740e+00,6.73927e-01,8.61800e+00,8.93214e+00,1.82897e+04,4.51886e+04,6.34783e+04,1.47590e+03,6.43634e+03,7.91224e+03,3.32128e+05,7.52744e+05,1.08487e+06,6.84670e+04,1.01190e+02,1.00697e+02,1.30511e+45,1.65060e+45,3.08763e+42,1.06213e+01,1.06213e+01,5.54131e+01,5.54131e+01,1.80017e+42,4.53512e+41,1.59695e+41,2.86676e+08,4.75211e+08,2.61588e+08,6.92442e+07,1.03339e+07,9.07981e+05,4.19518e+04,1.48080e+03,1.10061e+07,1.73386e+41,1.12998e+41,6.22032e+40,2.08485e+40,2.11605e+41,8.87031e+40,3.08650e+40,2.64944e+08,4.40227e+08,2.42971e+08,6.44990e+07,9.64607e+06,8.51059e+05,3.93661e+04,1.35706e+03,1.02227e+07,3.15844e+40,3.83270e+40,4.68779e+39,1.57120e+39
gal2,firebox,3.0,0,1.30000e+03,1.50000e+03,,,1.60654e+09,3.12676e+10,3.75503e+10,0.00000e+00,1.35398e+10,4.54353e-01,0.00000e+00,5.45647e-01,1.00000e+00,5.40805e+09,2.93478e+09,3.64456e+04,1.03153e+12,6.11107e+01,5.43032e+01,5.01887e+01,3.31362e+01,2.87753e-06,2.55699e-06,2.36325e-06,1.56029e-06,1.62744e-09,1.44615e-09,1.33657e-09,8.82449e-10,1.95444e-09,1.73672e-09,1.60513e-09,1.05976e-09,9.20293e-17,8.17776e-17,7.55814e-17,4.99013e-17,5.20487e-20,4.62507e-20,4.27463e-20,2.82225e-20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.41660e-01,5.30902e-01,6.69745e-01,5.60177e-01,5.39638e-01,5.90233e-01,,6.46279e-01,8.57388e+00,,4.51000e+04,9.04706e+04,1.35571e+05,4.36974e+03,1.41683e+04,1.85380e+04,0.00000e+00,0.00000e+00,0.00000e+00,,,,1.79951e+45,3.08449e+45,7.98021e+43,1.62611e+01,1.62611e+01,,,5.07522e+42,1.13146e+42,4.00773e+41,8.89087e+07,1.35894e+08,7.43182e+07,2.06626e+07,3.50350e+06,3.39624e+05,1.62832e+04,5.49336e+02,4.06801e+06,2.84571e+41,2.80178e+41,2.33477e+41,7.82540e+40,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
gal3,firebox,3.0,0,1.10000e+03,9.00000e+02,2.21301e+02,2.35601e+02,6.85959e+08,1.75682e+10,4.46886e+10,8.95595e+08,2.45144e+10,2.82189e-01,3.52458e-02,7.17811e-01,9.64754e-01,1.31284e+09,6.94151e+08,1.40225e+05,1.02185e+12,8.57669e+01,7.97872e+01,9.45379e+01,5.90451e+01,5.64059e-06,5.24733e-06,6.21743e-06,3.88319e-06,1.91921e-09,1.78541e-09,2.11548e-09,1.32126e-09,4.88195e-09,4.54158e-09,5.38120e-09,3.36091e-09,3.21069e-16,2.98684e-16,3.53903e-16,2.21036e-16,1.09244e-19,1.01627e-19,1.20416e-19,7.52074e-20,9.57653e-08,8.90885e-08,1.05559e-07,6.59284e-08,6.29815e-15,5.85904e-15,6.94223e-15,4.33588e-15,2.14295e-18,1.99354e-18,2.36210e-18,1.47528e-18,5.83494e-01,5.79710e-01,8.05068e-01,5.89575e-01,5.82119e-01,6.89034e-01,1.06924e+00,6.59833e-01,8.60338e+00,8.86615e+00,8.69679e+03,5.02296e+04,5.89264e+04,1.04323e+03,8.71245e+03,9.75568e+03,1.85294e+06,5.06679e+06,6.91973e+06,1.43064e+05,1.21230e+02,1.21418e+02,2.84053e+45,3.45550e+45,1.03367e+43,2.66130e+01,2.66130e+01,3.77713e+02,3.77713e+02,2.38418e+42,6.18553e+41,2.18522e+41,1.60253e+09,3.20033e+09,1.79196e+09,4.36501e+08,5.57702e+07,4.27086e+06,2.37865e+05,1.91352e+04,3.91487e+07,1.43566e+41,2.26004e+41,1.16324e+41,3.89880e+40,3.72227e+41,1.55262e+41,5.41750e+40,1.06227e+09,2.15548e+09,1.20752e+09,2.92884e+08,3.79255e+07,2.98048e+06,1.67450e+05,1.39662e+04,2.75483e+07,2.98015e+40,7.02173e+40,2.30131e+40,7.71327e+39
gal4,firebox,3.0,0,4.90000e+03,3.50000e+03,4.62986e+01,1.28200e+01,1.01318e+09,4.13242e+10,2.84413e+10,9.67010e+08,9.18298e+09,5.92331e-01,9.52720e-02,4.07669e-01,9.04728e-01,5.03120e+09,1.84862e+09,1.18329e+04,7.45901e+11,3.05742e+01,3.93727e+01,3.93483e+01,5.63274e+01,1.01334e-07,1.30495e-07,1.30414e-07,1.86688e-07,1.07500e-09,1.38435e-09,1.38349e-09,1.98048e-09,7.39861e-10,9.52775e-10,9.52185e-10,1.36306e-09,2.45216e-18,3.15783e-18,3.15587e-18,4.51765e-18,2.60137e-20,3.34998e-20,3.34790e-20,4.79254e-20,3.16173e-08,4.07159e-08,4.06907e-08,5.82490e-08,1.04791e-16,1.34947e-16,1.34863e-16,1.93057e-16,1.11167e-18,1.43158e-18,1.43069e-18,2.04805e-18,5.02491e-01,3.46807e-01,5.93707e-01,3.59723e-01,5.03867e-01,5.25558e-01,7.33485e-01,4.01431e-01,8.54561e+00,8.70885e+00,3.80977e+04,3.51150e+04,7.32127e+04,6.81554e+03,7.73328e+03,1.45488e+04,5.48639e+03,1.79482e+04,2.34346e+04,3.41867e+05,7.38697e+02,7.39328e+02,1.77479e+45,2.51039e+45,1.75130e+43,1.37052e+01,1.37052e+01,7.06999e+01,7.06999e+01,7.65015e+42,1.78358e+42,6.32318e+41,5.95238e+07,9.84958e+07,5.48106e+07,1.47489e+07,2.24355e+06,1.94874e+05,9.59107e+03,5.85358e+02,2.17531e+06,4.38184e+41,3.97122e+41,4.36545e+41,1.46316e+41,2.71353e+41,8.66543e+40,3.04660e+40,2.53205e+07,4.02522e+07,2.37145e+07,7.10681e+06,1.24091e+06,1.20711e+05,5.86590e+03,2.00753e+02,1.13282e+06,2.07689e+40,2.91357e+40,1.37890e+40,4.62165e+39
gal5,firebox,3.0,0,2.30000e+03,1.50000e+03,7.24040e+01,7.67017e+01,1.17606e+09,2.07385e+10,2.80258e+10,1.27471e+09,1.40785e+10,4.25281e-01,8.30255e-02,5.74719e-01,9.16975e-01,3.96607e+09,2.05489e+09,2.61621e+04,7.16296e+11,3.86270e+01,3.08451e+01,2.76083e+01,1.81710e+01,5.81066e-07,4.64002e-07,4.15312e-07,2.73346e-07,1.37826e-09,1.10059e-09,9.85102e-10,6.48365e-10,1.86257e-09,1.48733e-09,1.33125e-09,8.76193e-10,2.80186e-17,2.23739e-17,2.00261e-17,1.31806e-17,6.64590e-20,5.30699e-20,4.75010e-20,3.12638e-20,3.03026e-08,2.41978e-08,2.16585e-08,1.42550e-08,4.55843e-16,3.64007e-16,3.25809e-16,2.14438e-16,1.08124e-18,8.63409e-19,7.72807e-19,5.08639e-19,5.17486e-01,4.83673e-01,6.41366e-01,4.91348e-01,5.30043e-01,6.39487e-01,9.35633e-01,5.41147e-01,8.54589e+00,8.79729e+00,4.39513e+04,6.09291e+04,1.04880e+05,3.43065e+03,8.52738e+03,1.19580e+04,1.96390e+05,4.13453e+05,6.09842e+05,7.10685e+04,2.09809e+02,2.09299e+02,1.12025e+45,1.45570e+45,4.34496e+42,1.30657e+01,1.30657e+01,6.56759e+01,6.56759e+01,2.38514e+42,5.63193e+41,1.98663e+41,5.65608e+07,8.62504e+07,4.71529e+07,1.30688e+07,2.19518e+06,2.10015e+05,9.71664e+03,3.41083e+02,2.64916e+06,1.94628e+41,1.10515e+41,8.46670e+40,2.83777e+40,2.54050e+41,9.10103e+40,3.18781e+40,3.49857e+07,5.18959e+07,2.86795e+07,8.21920e+06,1.43726e+06,1.40974e+05,6.31305e+03,1.65521e+02,1.77738e+06,2.87307e+40,2.62208e+40,9.56567e+39,3.20611e+39
gal6,firebox,3.0,0,5.50000e+03,4.30000e+03,4.20826e+01,1.04509e+01,3.57235e+08,3.07968e+10,1.38998e+10,9.93180e+08,3.93169e+09,6.89018e-01,2.01666e-01,3.10982e-01,7.98334e-01,2.24981e+09,7.41064e+08,1.53377e+03,6.77809e+11,1.87299e+01,2.45836e+01,2.44086e+01,3.29748e+01,4.92720e-08,6.46712e-08,6.42107e-08,8.67455e-08,1.34749e-09,1.76863e-09,1.75603e-09,2.37232e-09,6.08176e-10,7.98252e-10,7.92569e-10,1.07072e-09,1.59991e-18,2.09993e-18,2.08498e-18,2.81671e-18,4.37542e-20,5.74289e-20,5.70200e-20,7.70313e-20,1.88585e-08,2.47524e-08,2.45762e-08,3.32013e-08,4.96104e-17,6.51153e-17,6.46516e-17,8.73412e-17,1.35674e-18,1.78077e-18,1.76809e-18,2.38861e-18,3.67090e-01,2.73076e-01,4.37965e-01,3.03629e-01,3.64044e-01,3.63922e-01,4.08646e-01,3.32401e-01,8.41289e+00,8.45788e+00,1.13651e+04,1.21195e+04,2.34846e+04,4.10086e+03,4.03234e+03,8.13320e+03,3.64598e+03,8.05068e+03,1.16967e+04,1.39451e+05,1.58903e+03,1.59309e+03,8.96152e+44,1.46237e+45,2.80355e+43,1.45250e+01,1.45250e+01,1.00343e+02,1.00343e+02,5.96214e+42,1.21277e+42,4.31885e+41,5.06211e+06,8.28016e+06,4.61089e+06,1.25940e+06,1.98106e+05,1.77884e+04,1.03648e+03,1.15486e+02,1.93482e+05,2.11161e+41,2.13292e+41,3.82463e+41,1.28189e+41,4.05358e+41,1.12212e+41,3.96400e+40,8.72086e+05,1.29032e+06,7.39361e+05,2.23212e+05,3.89443e+04,3.70777e+03,1.91429e+02,9.28373e+00,3.72625e+04,1.84097e+40,2.06320e+40,2.93625e+40,9.84137e+39
gal7,firebox,3.0,0,3.30000e+03,2.90000e+03,8.59627e+01,4.76391e+01,7.49985e+08,2.94158e+10,1.89935e+10,1.62983e+09,7.08277e+09,6.07648e-01,1.87065e-01,3.92352e-01,8.12935e-01,3.63909e+09,1.47018e+09,1.59059e+04,6.47837e+11,6.09315e+01,7.18012e+01,6.40460e+01,1.77655e+01,4.45250e-07,5.24680e-07,4.68009e-07,1.29819e-07,3.20802e-09,3.78031e-09,3.37200e-09,9.35347e-10,2.07139e-09,2.44091e-09,2.17727e-09,6.03944e-10,1.51364e-17,1.78366e-17,1.59101e-17,4.41325e-18,1.09058e-19,1.28513e-19,1.14632e-19,3.17974e-20,3.73853e-08,4.40546e-08,3.92963e-08,1.09002e-08,2.73189e-16,3.21924e-16,2.87153e-16,7.96524e-17,1.96832e-18,2.31946e-18,2.06893e-18,5.73894e-19,3.90772e-01,3.09254e-01,4.52439e-01,3.19968e-01,3.92908e-01,4.30760e-01,5.32836e-01,3.44781e-01,8.43484e+00,8.55878e+00,2.97313e+04,3.21814e+04,6.19127e+04,3.95472e+03,6.08029e+03,1.00350e+04,7.57592e+04,1.05981e+05,1.81740e+05,1.03467e+05,6.29124e+02,6.28839e+02,2.09564e+45,2.65292e+45,1.57347e+43,2.65517e+01,2.65517e+01,1.91078e+02,1.91078e+02,5.63921e+42,1.29481e+42,4.59811e+41,2.98437e+07,4.61337e+07,2.79722e+07,8.99735e+06,1.73739e+06,1.84156e+05,1.20823e+04,1.36949e+03,1.59534e+06,2.42568e+41,2.66602e+41,3.68002e+41,1.23343e+41,6.17957e+41,2.13762e+41,7.55724e+40,1.91055e+07,3.04294e+07,1.89483e+07,6.18419e+06,1.19264e+06,1.27371e+05,8.89266e+03,1.15763e+03,1.00469e+06,3.25960e+40,5.79606e+40,5.68710e+40,1.90613e+40
gal8,firebox,3.0,0,3.10000e+03,1.70000e+03,3.37994e+01,1.95413e+01,5.83865e+08,2.11682e+10,1.25410e+10,5.89965e+08,3.72136e+09,6.27966e-01,1.36841e-01,3.72034e-01,8.63159e-01,2.82864e+09,1.07493e+09,8.86658e+03,5.93254e+11,3.45999e+01,3.29811e+01,3.37279e+01,2.19634e+01,2.86511e-07,2.73107e-07,2.79290e-07,1.81872e-07,2.75895e-09,2.62987e-09,2.68942e-09,1.75134e-09,1.63452e-09,1.55805e-09,1.59333e-09,1.03757e-09,1.35350e-17,1.29017e-17,1.31939e-17,8.59176e-18,1.30335e-19,1.24237e-19,1.27050e-19,8.27342e-20,5.86474e-08,5.59036e-08,5.71694e-08,3.72284e-08,4.85641e-16,4.62920e-16,4.73402e-16,3.08277e-16,4.67647e-18,4.45768e-18,4.55861e-18,2.96854e-18,3.98872e-01,3.16068e-01,4.90813e-01,3.28946e-01,3.99834e-01,4.51379e-01,6.17617e-01,3.51339e-01,8.44311e+00,8.62734e+00,2.27060e+04,2.34031e+04,4.61091e+04,1.84099e+03,3.33704e+03,5.17803e+03,1.27472e+04,3.46095e+04,4.73567e+04,3.27620e+05,9.06318e+02,9.02088e+02,1.10844e+45,1.48925e+45,2.12172e+43,2.15245e+01,2.15245e+01,7.15240e+01,7.15240e+01,4.53356e+42,1.02301e+42,3.63343e+41,1.78588e+07,2.66936e+07,1.52330e+07,4.61888e+06,8.59263e+05,8.88098e+04,4.95338e+03,2.79709e+02,9.23980e+05,2.04588e+41,2.10450e+41,2.78526e+41,9.33531e+40,2.08492e+41,6.85392e+40,2.42690e+40,1.17198e+06,1.70877e+06,9.39831e+05,2.71565e+05,5.05794e+04,5.48942e+03,2.79633e+02,8.92020e+00,6.52695e+04,1.26067e+40,2.10726e+40,1.60905e+40,5.39303e+39
gal9,firebox,3.0,0,2.50000e+03,2.10000e+03,7.81952e+01,2.31361e+01,4.76568e+08,2.34263e+10,1.67088e+10,4.54277e+08,5.50305e+09,5.83687e-01,7.62551e-02,4.16313e-01,9.23745e-01,2.41548e+09,1.05151e+09,5.94107e+03,4.85883e+11,1.41101e+01,1.41822e+01,1.64526e+01,1.49717e+01,1.79656e-07,1.80573e-07,2.09481e-07,1.90625e-07,8.44475e-10,8.48789e-10,9.84671e-10,8.96039e-10,6.02320e-10,6.05397e-10,7.02314e-10,6.39098e-10,7.66898e-18,7.70816e-18,8.94215e-18,8.13725e-18,3.60482e-20,3.62323e-20,4.20327e-20,3.82493e-20,3.10606e-08,3.12193e-08,3.62172e-08,3.29572e-08,3.95476e-16,3.97497e-16,4.61132e-16,4.19624e-16,1.85894e-18,1.86844e-18,2.16756e-18,1.97245e-18,4.47601e-01,3.09355e-01,5.41193e-01,3.29272e-01,4.51968e-01,5.06245e-01,7.02782e-01,3.66726e-01,8.48724e+00,8.68678e+00,4.31926e+04,4.10000e+04,8.41926e+04,3.70433e+03,6.13166e+03,9.83599e+03,1.78686e+04,6.88045e+04,8.66731e+04,1.03421e+06,4.77676e+02,4.74142e+02,6.94266e+44,1.13841e+45,1.92814e+43,9.79796e+00,9.79796e+00,8.86091e+01,8.86091e+01,3.38516e+42,7.63938e+41,2.71238e+41,1.39811e+07,2.25538e+07,1.23684e+07,3.36563e+06,5.71391e+05,5.74911e+04,3.04828e+03,1.72715e+02,6.05097e+05,1.88067e+41,1.76237e+41,1.92929e+41,6.46636e+40,1.34736e+41,4.54983e+40,1.60334e+40,5.03174e+06,6.57219e+06,3.92892e+06,1.38449e+06,3.24760e+05,3.96639e+04,2.11468e+03,6.26571e+01,3.64928e+05,9.54324e+39,1.37706e+40,8.31379e+39,2.78652e+39
gal10,firebox,3.0,0,1.30000e+03,1.10000e+03,1.49482e+02,1.12546e+02,1.44549e+08,9.16331e+09,1.26392e+10,5.97539e+08,5.12960e+09,4.20287e-01,1.04335e-01,5.79713e-01,8.95665e-01,7.23421e+08,3.01454e+08,3.13038e+03,4.17124e+11,3.38775e+01,1.53958e+01,8.90238e+00,4.71061e+00,1.59520e-06,7.24946e-07,4.19189e-07,2.21810e-07,2.68035e-09,1.21810e-09,7.04347e-10,3.72698e-10,3.69708e-09,1.68016e-09,9.71525e-10,5.14073e-10,1.74085e-16,7.91141e-17,4.57465e-17,2.42063e-17,2.92509e-19,1.32932e-19,7.68660e-20,4.06729e-20,5.66950e-08,2.57654e-08,1.48984e-08,7.88335e-09,2.66961e-15,1.21322e-15,7.01526e-16,3.71205e-16,4.48565e-18,2.03853e-18,1.17875e-18,6.23722e-19,3.65503e-01,3.25942e-01,3.81686e-01,3.43201e-01,3.67718e-01,3.68556e-01,3.91003e-01,3.84348e-01,8.39880e+00,8.42425e+00,4.69562e+03,1.67765e+04,2.14722e+04,3.80426e+02,2.40407e+03,2.78450e+03,4.22833e+05,8.61770e+05,1.28460e+06,2.03268e+04,4.15059e+02,4.13943e+02,4.85228e+44,7.01673e+44,4.55753e+42,2.59447e+01,2.59447e+01,2.90389e+02,2.90389e+02,1.41345e+42,3.00040e+41,1.06873e+41,5.43520e+06,7.52838e+06,4.46848e+06,1.49485e+06,3.01747e+05,3.35629e+04,1.92614e+03,7.32078e+01,3.29005e+05,5.00579e+40,5.15167e+40,9.91294e+40,3.32250e+40,3.24583e+41,9.41126e+40,3.31873e+40,4.09499e+06,5.27399e+06,3.24555e+06,1.18004e+06,2.55949e+05,2.98252e+04,1.73475e+03,5.56807e+01,2.82961e+05,1.29375e+40,1.39099e+40,2.29172e+40,7.68110e+39
gal11,firebox,3.0,0,1.50000e+03,1.30000e+03,9.21979e+01,5.40548e+01,6.02531e+08,1.47691e+10,1.45728e+10,3.82091e+08,5.85061e+09,5.03346e-01,6.13042e-02,4.96654e-01,9.38696e-01,2.23586e+09,1.12613e+09,1.58584e+04,4.10154e+11,3.94762e+01,2.48606e+01,2.13076e+01,1.04639e+01,1.39619e-06,8.79262e-07,7.53601e-07,3.70083e-07,2.70891e-09,1.70596e-09,1.46215e-09,7.18042e-10,2.67289e-09,1.68328e-09,1.44271e-09,7.08495e-10,9.45342e-17,5.95338e-17,5.10255e-17,2.50579e-17,1.83417e-19,1.15509e-19,9.90006e-20,4.86178e-20,1.03316e-07,6.50645e-08,5.57657e-08,2.73858e-08,3.65407e-15,2.30119e-15,1.97231e-15,9.68574e-16,7.08970e-18,4.46481e-18,3.82671e-18,1.87925e-18,4.70425e-01,4.25371e-01,5.76445e-01,4.39089e-01,4.81599e-01,5.87930e-01,7.11311e-01,5.42195e-01,8.50570e+00,8.68298e+00,1.45053e+04,3.01382e+04,4.46435e+04,1.13596e+03,4.23048e+03,5.36644e+03,9.75388e+04,3.56642e+05,4.54181e+05,3.63967e+05,3.06567e+02,3.03533e+02,7.68790e+44,9.75607e+44,2.47636e+42,1.56537e+01,1.56537e+01,9.42846e+01,9.42846e+01,1.54281e+42,3.66641e+41,1.29561e+41,2.83124e+07,4.16610e+07,2.33885e+07,6.98615e+06,1.30790e+06,1.35978e+05,6.89808e+03,2.44779e+02,1.47702e+06,1.06787e+41,7.90506e+40,6.62946e+40,2.22199e+40,1.00881e+41,3.23145e+40,1.13735e+40,5.01824e+06,6.75293e+06,3.90602e+06,1.30050e+06,2.82646e+05,3.18528e+04,1.59285e+03,4.29458e+01,3.38690e+05,7.03849e+39,1.05667e+40,5.28507e+39,1.77139e+39
gal12,firebox,3.0,0,1.70000e+03,1.70000e+03,1.69235e+02,5.68999e+01,2.17162e+08,1.01350e+10,1.31475e+10,5.16605e+08,5.24464e+09,4.35307e-01,8.96691e-02,5.64693e-01,9.10331e-01,8.73759e+08,4.96786e+08,1.67878e+04,4.07403e+11,3.47378e+01,1.09898e+01,8.38347e+00,5.74007e+00,9.56522e-07,3.02610e-07,2.30843e-07,1.58056e-07,2.64217e-09,8.35890e-10,6.37649e-10,4.36591e-10,3.42750e-09,1.08434e-09,8.27177e-10,5.66359e-10,9.43778e-17,2.98578e-17,2.27767e-17,1.55950e-17,2.60696e-19,8.24753e-20,6.29153e-20,4.30774e-20,6.72425e-08,2.12732e-08,1.62280e-08,1.11111e-08,1.85155e-15,5.85767e-16,4.46845e-16,3.05950e-16,5.11448e-18,1.61804e-18,1.23431e-18,8.45116e-19,4.10053e-01,3.21861e-01,4.88700e-01,3.37533e-01,4.09067e-01,4.77708e-01,5.51053e-01,4.08305e-01,8.44627e+00,8.55677e+00,4.78707e+03,1.50073e+04,1.97944e+04,5.15841e+02,2.48949e+03,3.00533e+03,1.08077e+05,2.94598e+05,4.02675e+05,2.63601e+04,6.26085e+02,6.25815e+02,3.48750e+44,6.02959e+44,4.88363e+42,1.13069e+01,1.13069e+01,1.49778e+02,1.49778e+02,9.99555e+41,2.05132e+41,7.30031e+40,1.70749e+07,1.99789e+07,1.25614e+07,5.05331e+06,1.25701e+06,1.53764e+05,8.51792e+03,2.46072e+02,1.46553e+06,4.88491e+40,3.94265e+40,5.99497e+40,2.00933e+40,1.91458e+41,6.02308e+40,2.13403e+40,1.50012e+07,1.69538e+07,1.09171e+07,4.58978e+06,1.17953e+06,1.46813e+05,8.17936e+03,2.22448e+02,1.37083e+06,9.89964e+39,1.52693e+40,1.55488e+40,5.21147e+39
